#hugo	sublist
KIAA0408	negative_c
NBPF10	negative_c
LOC100506874	negative_c
BMP8A	negative_c
NR2C2	negative_c
FAM102B	negative_c
ZFAND3	negative_c
PARP11	negative_c
MAPK8IP2	negative_c
PDE2A	negative_c
ABLIM3	negative_c
LINC00158	negative_c
LOC100128398	negative_c
CAP2	negative_c
CPSF3L	negative_c
SFSWAP	negative_c
RGMA	negative_c
EPB41L4B	negative_c
TNFRSF19	negative_c
SGPL1	negative_c
TH1L	negative_c
HOXC6	negative_c
EPS15	negative_c
WIPF2	negative_c
CDRT1	negative_c
SLC25A41	negative_c
BOK-AS1	negative_c
TMEM132C	negative_c
RGL4	negative_c
AMY2A	negative_c
SLC4A3	negative_c
GGNBP2	negative_c
KRTAP5-2	negative_c
NOTCH4	negative_c
TTC22	negative_c
FOXO3	negative_c
EP300	negative_c
SAMD4A	negative_c
CCSER2	negative_c
ARNT	negative_c
SGIP1	negative_c
SENP6	negative_c
LOC284600	negative_c
SBF1P1	negative_c
SH3PXD2A	negative_c
COL4A1	negative_c
SLC29A1	negative_c
GUSBP11	negative_c
CILP	negative_c
IZUMO4	negative_c
TCP11L2	negative_c
ZNF788	negative_c
SPSB1	negative_c
BANP	negative_c
PHC2	negative_c
SNORA44	negative_c
PAG1	negative_c
GATAD2B	negative_c
USP15	negative_c
SLC16A12	negative_c
ASB8	negative_c
MAPT-AS1	negative_c
SLC29A4	negative_c
PITPNB	negative_c
NEBL	negative_c
FNDC1	negative_c
ITGA9	negative_c
TBC1D24	negative_c
CDH12	negative_c
SCML4	negative_c
RIN2	negative_c
TMEM39B	negative_c
LOC100128364	negative_c
PAPSS2	negative_c
SNORD118	negative_c
ZNF415	negative_c
RPH3AL	negative_c
SNORD116-21	negative_c
KCNRG	negative_c
DERA	negative_c
DCTN2	negative_c
NPAS1	negative_c
ARID3A	negative_c
SLC6A9	negative_c
PPP1R12B	negative_c
RECK	negative_c
EBF1	negative_c
HIVEP2	negative_c
PCBP1-AS1	negative_c
ADTRP	negative_c
SH2D7	negative_c
C5ORF20	negative_c
TRIM36	negative_c
LPCAT4	negative_c
APOE	negative_c
